Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Aachen,1,Valid,L5,21.0,,50.775,6.08333,"[6, 50]"
Aarhus,2,Valid,H6,720.0,,56.18333,10.23333,"[10, 56]"
Abee,6,Valid,EH4,107000.0,,54.21667,-113.0,"[-113, 54]"
Acapulco,10,Valid,Acapulcoite,1914.0,,16.88333,-99.9,"[-99, 16]"
Achiras,370,Valid,L6,780.0,,-33.16667,-64.95,"[-64, -33]"
Adhi Kot,379,Valid,EH4,4239.0,,32.1,71.8,"[71, 32]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,,44.83333,95.16667,"[95, 44]"
Agen,392,Valid,H5,30000.0,,44.21667,0.61667,"[0, 44]"
Aguada,398,Valid,L6,1620.0,,-31.6,-65.23333,"[-65, -31]"
Aguila Blanca,417,Valid,L,1440.0,,-30.86667,-64.55,"[-64, -30]"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,,16.39806,-9.57028,"[-9, 16]"
Aïr,424,Valid,L6,24000.0,,19.08333,8.38333,"[8, 19]"
Aire-sur-la-Lys,425,Valid,Unknown,,,50.66667,2.33333,"[2, 50]"
Akaba,426,Valid,L6,779.0,,29.51667,35.05,"[35, 29]"
Akbarpur,427,Valid,H4,1800.0,,29.71667,77.95,"[77, 29]"
Akwanga,432,Valid,H,3000.0,,8.91667,8.43333,"[8, 8]"
Akyumak,433,Valid,"Iron, IVA",50000.0,,39.91667,42.81667,"[42, 39]"
Al Rais,446,Valid,CR2-an,160.0,,24.41667,39.51667,"[39, 24]"
Al Zarnkh,447,Valid,LL5,700.0,,13.66033,28.96,"[28, 13]"
Alais,448,Valid,CI1,6000.0,,44.11667,4.08333,"[4, 44]"
Albareto,453,Valid,L/LL4,2000.0,,44.65,11.01667,"[11, 44]"
Alberta,454,Valid,L,625.0,,2.0,22.66667,"[22, 2]"
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,,45.82133,6.01533,"[6, 45]"
Aldsworth,461,Valid,LL5,700.0,,51.78333,-1.78333,"[-1, 51]"
Aleppo,462,Valid,L6,3200.0,,36.23333,37.13333,"[37, 36]"
Alessandria,463,Valid,H5,908.0,,44.88333,8.75,"[8, 44]"
Alexandrovsky,465,Valid,H4,9251.0,,50.95,31.81667,"[31, 50]"
Alfianello,466,Valid,L6,228000.0,,45.26667,10.15,"[10, 45]"
Allegan,2276,Valid,H5,32000.0,,42.53333,-85.88333,"[-85, 42]"
Allende,2278,Valid,CV3,2000000.0,,26.96667,-105.31667,"[-105, 26]"
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,,20.74575,32.41275,"[32, 20]"
Alta'ameem,2284,Valid,LL5,6000.0,,35.27333,44.21556,"[44, 35]"
Ambapur Nagla,2290,Valid,H5,6400.0,,27.66667,78.25,"[78, 27]"
Andhara,2294,Valid,Stone-uncl,2700.0,,26.58333,85.56667,"[85, 26]"
Andover,2295,Valid,L6,3200.0,,44.61667,-70.75,"[-70, 44]"
Andreevka,2296,Valid,L3,600.0,,48.7,37.5,"[37, 48]"
Andura,2298,Valid,H6,17900.0,,20.88333,76.86667,"[76, 20]"
Northwest Africa 5815,50693,Valid,L5,256.8,,0.0,0.0,"[0, 0]"
Angers,2301,Valid,L6,,,47.46667,-0.55,"[0, 47]"
Angra dos Reis (stone),2302,Valid,Angrite,1500.0,,-22.96667,-44.31667,"[-44, -22]"
Ankober,2304,Valid,H4,6500.0,,9.53333,39.71667,"[39, 9]"
Anlong,2305,Valid,H5,2500.0,,25.15,105.18333,"[105, 25]"
Aomori,2313,Valid,L6,320.0,,40.81056,140.78556,"[140, 40]"
Appley Bridge,2318,Valid,LL6,15000.0,,53.58333,-2.71667,"[-2, 53]"
Apt,2320,Valid,L6,3200.0,,43.86667,5.38333,"[5, 43]"
Arbol Solo,2325,Valid,H5,810.0,,-33.0,-66.0,"[-66, -33]"
Archie,2329,Valid,H6,5070.0,,38.5,-94.3,"[-94, 38]"
Arroyo Aguiar,2340,Valid,H5,7450.0,,-31.41667,-60.66667,"[-60, -31]"
Asco,2345,Valid,H6,41.0,,42.45,9.03333,"[9, 42]"
Ash Creek,48954,Valid,L6,9500.0,,31.805,-97.01,"[-97, 31]"
Ashdon,2346,Valid,L6,1300.0,,52.05,0.3,"[0, 52]"
Assisi,2353,Valid,H5,2000.0,,43.03333,12.55,"[12, 43]"
Atarra,4883,Valid,L4,1280.0,,25.25417,80.625,"[80, 25]"
Atemajac,4884,Valid,L6,94.2,,20.06667,-103.66667,"[-103, 20]"
Athens,4885,Valid,LL6,265.0,,34.75,-87.0,"[-87, 34]"
Atoka,4888,Valid,L6,1384.2,,34.31667,-96.15,"[-96, 34]"
Aubres,4893,Valid,Aubrite,800.0,,44.38333,5.16667,"[5, 44]"
Aumale,4899,Valid,L6,50000.0,,36.16667,3.66667,"[3, 36]"
